No,House Age,Distance to MRT,Number of Food Places,House Price Per Unit Area
69,30.4,464.223,6,36.2
70,12.5,561.9845,5,42
71,6.6,90.45606,9,59
72,35.5,640.7391,3,40.8
73,32.5,424.5442,8,36.3
74,13.8,4082.015,0,20
75,6.8,379.5575,10,54.4
76,12.3,1360.139,1,29.5
77,35.9,616.4004,3,36.8
78,20.5,2185.128,3,25.6
79,38.2,552.4371,2,29.8
80,18,1414.837,1,26.5
81,11.8,533.4762,4,40.3
82,30.8,377.7956,6,36.8
83,13.2,150.9347,7,48.1
84,25.3,2707.392,3,17.7
85,15.1,383.2805,7,43.7
86,0,338.9679,9,50.8
87,1.8,1455.798,1,27
88,16.9,4066.587,0,18.3
89,8.9,1406.43,0,48
90,23,3947.945,0,25.3
91,0,274.0144,1,45.4
92,9.1,1402.016,0,43.2
93,20.6,2469.645,4,21.8
94,31.9,1146.329,0,16.1
95,40.9,167.5989,5,41
96,8,104.8101,5,51.8
97,6.4,90.45606,9,59.5
98,28.4,617.4424,3,34.6
99,16.4,289.3248,5,51
100,6.4,90.45606,9,62.2
101,17.5,964.7496,4,38.2
102,12.7,170.1289,1,32.9
103,1.1,193.5845,6,54.4
104,0,208.3905,6,45.7
105,32.7,392.4459,6,30.5
106,0,292.9978,6,71
107,17.2,189.5181,8,47.1
108,12.2,1360.139,1,26.6
109,31.4,592.5006,2,34.1
110,4,2147.376,3,28.4
111,8.1,104.8101,5,51.6
112,33.3,196.6172,7,39.4
113,9.9,2102.427,3,23.1
114,14.8,393.2606,6,7.6
115,30.6,143.8383,8,53.3
116,20.6,737.9161,2,46.4
117,30.9,6396.283,1,12.2
118,13.6,4197.349,0,13
119,25.3,1583.722,3,30.6
120,16.6,289.3248,5,59.6
121,13.3,492.2313,5,31.3
122,13.6,492.2313,5,48
123,31.5,414.9476,4,32.5
124,0,185.4296,0,45.5
125,9.9,279.1726,7,57.4
126,1.1,193.5845,6,48.6
127,38.6,804.6897,4,62.9
128,3.8,383.8624,5,55
129,41.3,124.9912,6,60.7
130,38.5,216.8329,7,41
131,29.6,535.527,8,37.5
132,4,2147.376,3,30.7
133,26.6,482.7581,5,37.5
134,18,373.3937,8,39.5
135,33.4,186.9686,6,42.2
136,18.9,1009.235,0,20.8
137,11.4,390.5684,5,46.8
138,13.6,319.0708,6,47.4
139,10,942.4664,0,43.5
140,12.9,492.2313,5,42.5
141,16.2,289.3248,5,51.4
142,5.1,1559.827,3,28.9
143,19.8,640.6071,5,37.5
144,13.6,492.2313,5,40.1
145,11.9,1360.139,1,28.4
146,2.1,451.2438,5,45.5
147,0,185.4296,0,52.2
148,3.2,489.8821,8,43.2
149,16.4,3780.59,0,45.1
150,34.9,179.4538,8,39.7
151,35.8,170.7311,7,48.5
152,4.9,387.7721,9,44.7
153,12,1360.139,1,28.9
154,6.5,376.1709,6,40.9
155,16.9,4066.587,0,20.7
156,13.8,4082.015,0,15.6
157,30.7,1264.73,0,18.3
158,16.1,815.9314,4,35.6
159,11.6,390.5684,5,39.4
160,15.5,815.9314,4,37.4
161,3.5,49.66105,8,57.8
162,19.2,616.4004,3,39.6
163,16,4066.587,0,11.6
164,8.5,104.8101,5,55.5
165,0,185.4296,0,55.2
166,13.7,1236.564,1,30.6
167,0,292.9978,6,73.6
168,28.2,330.0854,8,43.4
169,27.6,515.1122,5,37.4
170,8.4,1962.628,1,23.5
171,24,4527.687,0,14.4
172,3.6,383.8624,5,58.8
173,6.6,90.45606,9,58.1
174,41.3,401.8807,4,35.1
175,4.3,432.0385,7,45.2
176,30.2,472.1745,3,36.5
177,13.9,4573.779,0,19.2
178,33,181.0766,9,42
179,13.1,1144.436,4,36.7
180,14,438.8513,1,42.6
181,26.9,4449.27,0,15.5
182,11.6,201.8939,8,55.9
183,13.5,2147.376,3,23.6
184,17,4082.015,0,18.8
185,14.1,2615.465,0,21.8
186,31.4,1447.286,3,21.5
187,20.9,2185.128,3,25.7
188,8.9,3078.176,0,22
189,34.8,190.0392,8,44.3
190,16.3,4066.587,0,20.5
191,35.3,616.5735,8,42.3
192,13.2,750.0704,2,37.8
193,43.8,57.58945,7,42.7
194,9.7,421.479,5,49.3
195,15.2,3771.895,0,29.3
196,15.2,461.1016,5,34.6
197,22.8,707.9067,2,36.6
198,34.4,126.7286,8,48.2
199,34,157.6052,7,39.1
200,18.2,451.6419,8,31.6
201,17.4,995.7554,0,25.5
202,13.1,561.9845,5,45.9
203,38.3,642.6985,3,31.5
204,15.6,289.3248,5,46.1
205,18,1414.837,1,26.6
206,12.8,1449.722,3,21.4
207,22.2,379.5575,10,44
208,38.5,665.0636,3,34.2
209,11.5,1360.139,1,26.2
210,34.8,175.6294,8,40.9
211,5.2,390.5684,5,52.2
212,0,274.0144,1,43.5
213,17.6,1805.665,2,31.1
214,6.2,90.45606,9,58
215,18.1,1783.18,3,20.9
216,19.2,383.7129,8,48.1
217,37.8,590.9292,1,39.7
218,28,372.6242,6,40.8
219,13.6,492.2313,5,43.8
220,29.3,529.7771,8,40.2
221,37.2,186.5101,9,78.3
222,9,1402.016,0,38.5
223,30.6,431.1114,10,48.5
224,9.1,1402.016,0,42.3
225,34.5,324.9419,6,46
226,1.1,193.5845,6,49
227,16.5,4082.015,0,12.8
228,32.4,265.0609,8,40.2
229,11.9,3171.329,0,46.6
230,31,1156.412,0,19
231,4,2147.376,3,33.4
232,16.2,4074.736,0,14.7
233,27.1,4412.765,1,17.4
234,39.7,333.3679,9,32.4
235,8,2216.612,4,23.9
236,12.9,250.631,7,39.3
237,3.6,373.8389,10,61.9
238,13,732.8528,0,39
239,12.8,732.8528,0,40.6
240,18.1,837.7233,0,29.7
241,11,1712.632,2,28.8
242,13.7,250.631,7,41.4
243,2,2077.39,3,33.4
244,32.8,204.1705,8,48.2
245,4.8,1559.827,3,21.7
246,7.5,639.6198,5,40.8
247,16.4,389.8219,6,40.6
248,21.7,1055.067,0,23.1
249,19,1009.235,0,22.3
250,18,6306.153,1,15
251,39.2,424.7132,7,30
252,31.7,1159.454,0,13.8
253,5.9,90.45606,9,52.7
254,30.4,1735.595,2,25.9
255,1.1,329.9747,5,51.8
256,31.5,5512.038,1,17.4
257,14.6,339.2289,1,26.5
258,17.3,444.1334,1,43.9
259,0,292.9978,6,63.3
260,17.7,837.7233,0,28.8
261,17,1485.097,4,30.7
262,16.2,2288.011,3,24.4
263,15.9,289.3248,5,53
264,3.9,2147.376,3,31.7
265,32.6,493.657,7,40.6
266,15.7,815.9314,4,38.1
267,17.8,1783.18,3,23.7
268,34.7,482.7581,5,41.1
269,17.2,390.5684,5,40.1
270,17.6,837.7233,0,23
271,10.8,252.5822,1,117.5
272,17.7,451.6419,8,26.5
273,13,492.2313,5,40.5
274,13.2,170.1289,1,29.3
275,27.5,394.0173,7,41
276,1.5,23.38284,7,49.7
277,19.1,461.1016,5,34
278,21.2,2185.128,3,27.7
279,0,208.3905,6,44
280,2.6,1554.25,3,31.1
281,2.3,184.3302,6,45.4
282,4.7,387.7721,9,44.8
283,2,1455.798,1,25.6
284,33.5,1978.671,2,23.5
285,15,383.2805,7,34.4
286,30.1,718.2937,3,55.3
287,5.9,90.45606,9,56.3
288,19.2,461.1016,5,32.9
289,16.6,323.6912,6,51
290,13.9,289.3248,5,44.5
291,37.7,490.3446,0,37
292,3.4,56.47425,7,54.4
293,17.5,395.6747,5,24.5
294,12.6,383.2805,7,42.5
295,26.4,335.5273,6,38.1
296,18.2,2179.59,3,21.8
297,12.5,1144.436,4,34.1
298,34.9,567.0349,4,28.5
299,16.7,4082.015,0,16.7
300,33.2,121.7262,10,46.1
301,2.5,156.2442,4,36.9
302,38,461.7848,0,35.7
303,16.5,2288.011,3,23.2
304,38.3,439.7105,0,38.4
305,20,1626.083,3,29.4
306,16.2,289.3248,5,55
307,14.4,169.9803,1,50.2
308,10.3,3079.89,0,24.7
309,16.4,289.3248,5,53
310,30.3,1264.73,0,19.1
311,16.4,1643.499,2,24.7
312,21.3,537.7971,4,42.2
313,35.4,318.5292,9,78
314,8.3,104.8101,5,42.8
315,3.7,577.9615,6,41.6
316,15.6,1756.411,2,27.3
317,13.3,250.631,7,42
318,15.6,752.7669,2,37.5
319,7.1,379.5575,10,49.8
320,34.6,272.6783,5,26.9
321,13.5,4197.349,0,18.6
322,16.9,964.7496,4,37.7
323,12.9,187.4823,1,33.1
324,28.6,197.1338,6,42.5
325,12.4,1712.632,2,31.3
326,36.6,488.8193,8,38.1
327,4.1,56.47425,7,62.1
328,3.5,757.3377,3,36.7
329,15.9,1497.713,3,23.6
330,13.6,4197.349,0,19.2
331,32,1156.777,0,12.8
332,25.6,4519.69,0,15.6
333,39.8,617.7134,2,39.6
334,7.8,104.8101,5,38.4
335,30,1013.341,5,22.8
336,27.3,337.6016,6,36.5
337,5.1,1867.233,2,35.6
338,31.3,600.8604,5,30.9
339,31.5,258.186,9,36.3
340,1.7,329.9747,5,50.4
341,33.6,270.8895,0,42.9
342,13,750.0704,2,37
343,5.7,90.45606,9,53.5
344,33.5,563.2854,8,46.6
345,34.6,3085.17,0,41.2
346,0,185.4296,0,37.9
347,13.2,1712.632,2,30.8
348,17.4,6488.021,1,11.2
349,4.6,259.6607,6,53.7
350,7.8,104.8101,5,47
351,13.2,492.2313,5,42.3
352,4,2180.245,3,28.6
353,18.4,2674.961,3,25.7
354,4.1,2147.376,3,31.3
355,12.2,1360.139,1,30.1
356,3.8,383.8624,5,60.7
357,10.3,211.4473,1,45.3
358,0,338.9679,9,44.9
359,1.1,193.5845,6,45.1
360,5.6,2408.993,0,24.7
361,32.9,87.30222,10,47.1
362,41.4,281.205,8,63.3
363,17.1,967.4,4,40
364,32.3,109.9455,10,48
365,35.3,614.1394,7,33.1
366,17.3,2261.432,4,29.5
367,14.2,1801.544,1,24.8
368,15,1828.319,2,20.9
369,18.2,350.8515,1,43.1
370,20.2,2185.128,3,22.8
371,15.9,289.3248,5,42.1
372,4.1,312.8963,5,51.7
373,33.9,157.6052,7,41.5
374,0,274.0144,1,52.2
375,5.4,390.5684,5,49.5
376,21.7,1157.988,0,23.8
377,14.7,1717.193,2,30.5
378,3.9,49.66105,8,56.8
379,37.3,587.8877,8,37.4
380,0,292.9978,6,69.7
381,14.1,289.3248,5,53.3
382,8,132.5469,9,47.3
383,16.3,3529.564,0,29.3
384,29.1,506.1144,4,40.3
385,16.1,4066.587,0,12.9
386,18.3,82.88643,10,46.6
387,0,185.4296,0,55.3
388,16.2,2103.555,3,25.6
389,10.4,2251.938,4,27.3
390,40.9,122.3619,8,67.7
391,32.8,377.8302,9,38.6
392,6.2,1939.749,1,31.3
393,42.7,443.802,6,35.3
394,16.9,967.4,4,40.3
395,32.6,4136.271,1,24.7
396,21.2,512.5487,4,42.5
397,37.1,918.6357,1,31.9
398,13.1,1164.838,4,32.2
399,14.7,1717.193,2,23
400,12.7,170.1289,1,37.3
401,26.8,482.7581,5,35.5
402,7.6,2175.03,3,27.7
403,12.7,187.4823,1,28.5
404,30.9,161.942,9,39.7
405,16.4,289.3248,5,41.2
406,23,130.9945,6,37.2
407,1.9,372.1386,7,40.5
408,5.2,2408.993,0,22.3
409,18.5,2175.744,3,28.1
410,13.7,4082.015,0,15.4
411,5.6,90.45606,9,50
412,18.8,390.9696,7,40.6
413,8.1,104.8101,5,52.5
414,6.5,90.45606,9,63.9
